s1,s2,result
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.71807e+10,1.71807e+10,0
6.82996e+10,6.73076e+10,9.91963e+08
1.52098e+11,1.46252e+11,5.84565e+09
2.66513e+11,2.47513e+11,1.89996e+10
4.08726e+11,3.6275e+11,4.59765e+10
5.75237e+11,4.82471e+11,9.27654e+10
7.61945e+11,5.96818e+11,1.65127e+11
9.64252e+11,6.96371e+11,2.67881e+11
1.17718e+12,7.72933e+11,4.04245e+11
1.39548e+12,8.20196e+11,5.75282e+11
1.61378e+12,8.34269e+11,7.7951e+11
1.82671e+12,8.13993e+11,1.01271e+12
1.82671e+12,8.13993e+11,1.01271e+12
1.82671e+12,8.13993e+11,1.01271e+12
1.82671e+12,8.13993e+11,1.01271e+12
1.82671e+12,8.13993e+11,1.01271e+12
1.82671e+12,8.13993e+11,1.01271e+12
1.82671e+12,8.13993e+11,1.01271e+12
1.82671e+12,8.13993e+11,1.01271e+12
1.82671e+12,8.13993e+11,1.01271e+12
1.82671e+12,8.13993e+11,1.01271e+12
1.57447e+12,7.72954e+11,8.01512e+11
1.32349e+12,8.32367e+11,4.91119e+11
1.07994e+12,9.87337e+11,9.26067e+10
8.49837e+11,1.2251e+12,-3.75264e+11
6.38832e+11,1.52608e+12,-8.87246e+11
4.52125e+11,1.86548e+12,-1.41335e+12
2.94312e+11,2.21535e+12,-1.92104e+12
1.69279e+11,2.54687e+12,-2.37759e+12
8.01049e+10,2.83275e+12,-2.75264e+12
2.8986e+10,3.04943e+12,-3.02044e+12
1.71807e+10,3.17907e+12,-3.16189e+12
4.49795e+10,3.21099e+12,-3.16601e+12
4.49795e+10,3.21099e+12,-3.16601e+12
4.49795e+10,3.21099e+12,-3.16601e+12
4.49795e+10,3.21099e+12,-3.16601e+12
4.49795e+10,3.21099e+12,-3.16601e+12
4.49795e+10,3.21099e+12,-3.16601e+12
4.49795e+10,3.21099e+12,-3.16601e+12
4.49795e+10,3.21099e+12,-3.16601e+12
1.71807e+10,3.17907e+12,-3.16189e+12
2.8986e+10,3.04943e+12,-3.02044e+12
8.01049e+10,2.83275e+12,-2.75264e+12
1.69279e+11,2.54687e+12,-2.37759e+12
